country,icao,name,city,latitude,longitude,is_eu_airport
FR,LF51,ORANGE-PLAN-DE-DIEU,ORANGE,44.18,4.92,0
FR,LF90,HELISTAT DIVERS 06,DIV. ALPES-MARITIMES/HEL,43.67,7.11,0
FR,LF92,HELISTAT SOPHIA ANTIPOLIS,HELISTAT SOPHIA ANTIPOLIS,43.6,7.05,0
FR,LF93,HELISTAT PRESQU'ILE ST TROPEZ,ST TROPEZ/HEL,43.21,6.48,0
FR,LF95,ISOLA 2000,HELISTAT ISOLA2000,44.18,7.15,0
FR,LF96,GRIMAUD,GRIMAUD,43.27,6.55,0
FR,LF98,HELISTAT YEU-PORT JOINVILLE,PORT-JOINVILLE,46.43,-2.2,0
FR,LFAB,DIEPPE-ST-AUBIN,DIEPPE,49.88,1.09,0
FR,LFAC,CALAIS-DUNKERQUE,CALAIS/DUNKERQUE,50.96,1.95,0
FR,LFAD,COMPIEGNE-MARGNY,COMPIEGNE,49.43,2.8,0
FR,LFAE,EU-MERS-LE TREPORT,EU,50.07,1.43,0
FR,LFAF,LAON-CHAMBRY,LAON,49.6,3.63,0
FR,LFAG,PERONNE-ST-QUENTIN,PERONNE,49.87,3.03,0
FR,LFAI,NANGIS-LES-LOGES,NANGIS,48.6,3.01,0
FR,LFAM,BERCK-SUR-MER,BERCK,50.42,1.59,0
FR,LFAO,BAGNOLES-DE-L'ORNE-COUTERNE,BAGNOLES-DE-L'ORNE,48.55,-0.38,0
FR,LFAQ,ALBERT-BRAY,ALBERT,49.97,2.69,1
FR,LFAR,MONTDIDIER,MONTDIDIER,49.67,2.57,0
FR,LFAT,LE TOUQUET-COTE D’OPALE,LE TOUQUET,50.51,1.63,0
FR,LFAV,VALENCIENNES-DENAIN,VALENCIENNES,50.32,3.47,0
FR,LFAX,MORTAGNE-AU-PERCHE,MORTAGNE-AU-PERCHE,48.54,0.53,0
FR,LFAY,AMIENS-GLISY,AMIENS,49.87,2.39,0
FR,LFBA,AGEN-LA GARENNE,AGEN,44.17,0.59,0
FR,LFBC,CAZAUX,CAZAUX,44.54,-1.13,0
FR,LFBD,BORDEAUX-MERIGNAC,BORDEAUX,44.83,-0.72,1
FR,LFBE,BERGERAC-DORDOGNE-PERIGORD,BERGERAC,44.82,0.52,0
FR,LFBF,TOULOUSE-FRANCAZAL,TOULOUSE,43.55,1.36,0
FR,LFBG,COGNAC-CHATEAUBERNARD,COGNAC,45.66,-0.32,0
FR,LFBH,LA ROCHELLE-ILE DE RE,LA ROCHELLE,46.18,-1.2,0
FR,LFBI,POITIERS-BIARD,POITIERS,46.59,0.31,0
FR,LFBJ,ST-JUNIEN,ST-JUNIEN,45.9,0.92,0
FR,LFBK,MONTLUCON-GUERET,MONTLUCON,46.23,2.36,0
FR,LFBL,LIMOGES-BELLEGARDE,LIMOGES,45.86,1.18,0
FR,LFBM,MONT-DE-MARSAN,MONT-DE-MARSAN,43.91,-0.51,0
FR,LFBN,NIORT-MARAIS POITEVIN,NIORT,46.31,-0.39,0
FR,LFBO,TOULOUSE-BLAGNAC,TOULOUSE,43.64,1.37,1
FR,LFBP,PAU-PYRENEES,PAU,43.38,-0.42,0
FR,LFBR,MURET-LHERM,MURET,43.45,1.26,0
FR,LFBS,BISCARROSSE-PARENTIS,BISCARROSSE,44.37,-1.13,0
FR,LFBT,TARBES-LOURDES-PYRENEES,TARBES/LOURDES,43.19,0.01,0
