Dénomination;N°;Ville;Pays
Raffinerie Total de Grandpuits (T.R.F);4;Mormant;FR
Raffinerie Esso de Port Jérôme;6;Notre Dame de Gravanchon;FR
Dépôt Rouen Petit Couronne - D.R.P.C;8;Petit Couronne;FR
Raffinerie Total de Normandie (T.R.F);10;Gonfreville l'Orcher;FR
Raffinerie Total de donges (T.R.M);13;Donges;FR
Raffinerie de berre (C.D.H);15;Rognac Grande Bastide;FR
Rubis Terminal - Wagram;20;Reichstett;FR
Raffinerie Total de Feyzin;22;Feyzin;FR
Raffinerie Esso de Fos;24;Fos sur Mer cedex;FR
Raffinerie Total de Provence (T.R.M);25;Chateauneuf les Martigues;FR
Raffinerie Pétroineos - Raffinerie Pétroineos de Lavéra;26;Lavéra;FR
Stockbrest;42;Brest;FR
C.I.M. SNC - CIM le Havre;133;Le Havre;FR
Le Havre SHMPP;134;Le Havre;FR
Dépôts de Pétrole Côtiers - Saint Pol;152;Saint Pol sur Mer;FR
Rubis Terminal;153;Dunkerque;FR
Entrepôt Pétrolier de Valenciennes;166;Prouvy;FR
Nortanling;169;Annay sous Lens;FR
Compiègne;181;Clairoix;FR
Gennevilliers SOGEPP;190;Gennevilliers;FR
C.I.M. SNC - CIM Grigny;193;Grigny;FR
Société Pétrolière du Val de Marne;194;Villeneuve le Roi;FR
Delek France - Vitry sur Seine;195;Vitry sur Seine;FR
EPHS Melun;205;Melun;FR
C.C.M.P.;208;Mitry Mory;FR
Total Gennevilliers;209;Gennevilliers;FR
C.C.M.P. SAS - Cim Nanterre;212;Nanterre;FR
Raffinerie du Midi - RM Coignières;216;Coignières;FR
Société Française Donges Metz - La Fertè Alais;217;La Ferté Alais;FR
C.C.M.P. SAS - Tours - CCMP;240;Saint Pierre des Corps;FR
Groupement Pétroliers de Saint Pierre des Corps - Tours - RM;242;Saint Pierre des Corps;FR
Varo Energy France Dépôt - Beaune la Rolande;245;Beaune la Rolande;FR
dépôts de Pétrole d'Orléans - Saint Jean - RM;248;Saint Jean de Braye;FR
Rubis Terminal - Rouen;259;Rouen Grand Quevilly;FR
SEPP Le Havre;262;Le havre;FR
Dépôts de pétrole Côtiers -D.P.C Caen;269;Caen;FR
Total - Dépôt de Vern sur Seiche;284;Vern sur Seiche;FR
Dépôt Pétrolier de Lorient S.A.S;294;Lorient;FR
Société des Dépots Pétrolier de la Sarthe;305;Le Mans;FR
Société Française Donge Metz - Donges Arceau;320;Donges;FR
SDLP;327;La Rochelle;FR
Picoty S.A - Picoty la Pallice;328;La Rochelle Pallice;FR
LBC Bayonne - Tarnos;362;Tarnos;FR
Entrepôt Pétrolier de Gironde - E.P.G;364;Ambès;FR
Docks des Pértroles d'Ambes - D.P.A;368;Carbon-Blanc;FR
CCMP PAUILLAC;372;Pauillac;FR
ESSO SAF - Toulouse - Esso;382;Toulouse;FR
TRM - Toulouse - Total;395;Lespinasse;FR
Société Française Donge Metz - La Chaussée sur Marne - Vatry;414;La Chaussée-sur-marne;FR
Société Française Donge Metz;429;Saint Baussant;FR
Hauconcourt;437;Hauconcourt;FR
Société Européenne de Stockage - Strasbourg SES;441;Strasbourg Robertsau;FR
Bollore Energie Strasbourg;447;Strasbourg;FR
Rubis Stockage - Village Neuf;449;Village Neuf;FR
Entrepôt Pétrolier de Mulhouse - Mulhouse EPM;451;Illzach;FR
Bollore Energie Mulhouse;452;Mulhouse;FR
Argos France dépôt - Chalon sur Saone;481;Chalon sur Saone;FR
Entrepôt Pétrolier de Dijon - E.P.D Dijon;485;Longvic;FR
Raffinerie du Midi - RM Dijon;489;Dijon;FR
Total Raffinage Marketing - Cournon d'Auvergne;498;Cournon d'Auvergne;FR
Bollore Energie Gerzat;500;Gerzat;FR
Ets Lagarde - Cusset;505;Cusset;FR
Dépôt Pétrolier de Lyon;519;Lyon;FR
Entrepôt Pétrolier de Lyon;520;Lyon;FR
Société des Stockages Pétroliers du Rhone - lyon SPR;521;Lyon;FR
SPMR - Villette de Vienne;525;Villette de Vienne;FR
Société du Dépôt de Saint Priest;529;Saint Priest;FR
Dépôt Pétrolier de Portes les valences - Total;539;Portes les Valences;FR
Dépôt Pétrolier de Haute Savoie;541;Annecy;FR
Société de Gestion des Dépôts d'Hydrocarbures;573;Frontignan;FR
Dépôts Pétrolier de Fos - D.P.F;584;Fos sur Mer;FR
Dépôt des Pétroliers de la Côte d'Azur;597;Puget sur Argens;FR
Total Raffinage Marketing;1168;Gargenville;FR
Total - Dépôt Pétrolier de la Côte d'Opale - D.P.C.O.;1313;Loon-Plage;FR
E.P.P.L.N.;1338;Port la Nouvelle;FR
BOLLORE CAEN MONDEVILLE;1447;Mondeville;FR
Total Raffinage France Dépôt Pétrolier de la Méde;1641;Chateauneuf les Martigues;FR
Raffinerie de Petit Couronne;1676;Petit Couronne;FR
BOLLORE Chasseneuil;1735;Chasseneuil du poitou;FR
