zip;gps
11266;43.022918, 3.057272
13026;43.398914, 5.101872
13039;43.434540, 4.916129
13117;43.401690, 4.999690
14120;49.1693649378,-0.310691187417
14437;49.184505, -0.324371
17000;46.169072, -1.206271
21000;47.298849, 5.036570
21355;47.284551, 5.046913
2390;49.8268502674,3.52909324665
26252;44.878807, 4.871245
29019;48.390236, -4.445849
31000;43.639335, 1.425464
31293;43.719184, 1.383470
33004;43.719184, 1.383470
33096;44.919617, -0.540877
34108;43.429466, 3.748482
35352;48.052490, -1.605724
37233;47.387109, 0.750175
40312;43.530542, -1.504505
44052;47.313220, -2.084142
45284;47.919727, 1.953603
45340;48.078699, 2.416358
48508;43.361211, -3.091974
51240;48.848386, 4.266220
54470;48.886261, 5.793403
56100;47.732135, -3.359004
57280;49.207767, 6.188116
59121;50.310356, 3.410278
59183;51.045223, 2.353743
59279;51.026026, 2.261026
59430;51.037100, 2.350653
59640;51.002499, 2.324479
63164;45.813589, 3.135372
63800;45.736085, 3.173884
67000;48.604437, 7.804415
67116;48.657114, 7.758897
68100;47.760240, 7.375251
68154;47.767093, 7.373962
68349;47.603230, 7.585803
68400;47.759686, 7.374302
69000;45.716068, 4.829073
69276;45.673347, 4.843389
69700;45.591529, 4.776034
69800;45.689282, 4.912460
72000;47.969830, 0.182750
74010;45.883566, 6.114451
76120;49.410422, 1.019442
76305;49.487227, 0.225223
76330;49.479722, 0.542049
76351;49.466609, 0.153485
76530;49.354407, 0.990906
76650;49.378020, 1.024312
77288;48.518264, 2.667826
77294;48.987649, 2.650951
77720;48.589581, 2.945366
78168;48.736284, 1.917144
78440;48.973651, 1.795809
8040;41.326906, 2.149327
83087;43.145253, 6.041892
83480;43.448154, 6.687832
9042;51.052709, 3.717847
91286;48.667484, 2.401283
92036;48.948289, 2.288984
92050;48.902303, 2.185879
94081;48.786495, 2.411858
94290;48.737346, 2.431883

