nomenclature,fuel_category,label,pci_litre,masse_volumique,pci_kg
2710123111,1,Essences d’aviation,32,1,44
SP95 - E5,1,SP95- E5,32,1,44
SP98,1,SP98,32,1,44
ARS,1,ARS,32,1,44
SP95 – E10,1,SP95 – E10,32,1,44
E85,1,E85,32,1,44
ED95,1,ED95,32,1,44
Gazole routier,2,Gazole routier,36,1,43
B30,2,B30,36,1,43
Gazole routier XTL,2,Gazole routier XTL,36,1,43
B100,2,B100,36,1,43
GNR,2,GNR,36,1,43
GNR B30,2,GNR B30,36,1,43
GNR XTL,2,GNR XTL,36,1,43
Carbureacteur type essence,3,Carbureacteur type essence,34,1,43
carbureacteur type petrole lampant,3,carbureacteur type petrole lampant,34,1,43
FOL_maritime,7,Fioul lourd Maritime,36,1,43
DML,7,Diesel Marine Léger,36,1,43
GPL_C,5,GPL carburant – GPL-c,24,1,46
