code,nom,fermentescible,graisse,is_double_compte,makes_huile_vegetale,is_displayed,is_industrial_waste,category
ALGUES,Algues,1,1,1,0,1,0,ANN-IX-A
AMIDON_RESIDUEL,Amidon résiduel,1,0,0,0,1,0,EP2AM
BAGASSE,Bagasse,1,0,1,0,1,0,ANN-IX-A
BALLES,Balles (enveloppes),1,0,1,0,0,0,ANN-IX-A
BETTERAVE,Betterave,1,0,0,0,1,0,CONV
BLE,Blé,1,0,0,0,1,0,CONV
BOUES_EPURATION,Boues d'épuration,1,1,1,0,1,0,ANN-IX-A
BRAI_TALLOL,Brai de tallol,0,1,1,0,1,0,ANN-IX-A
CANNE_A_SUCRE,Canne à sucre,1,0,0,0,1,0,CONV
CARINATA,Carinata,0,1,0,1,1,0,CONV
COLZA,Colza,0,1,0,1,1,0,CONV
COQUES,Coques,1,0,1,0,0,0,ANN-IX-A
DECHETS_BOIS,Déchets de bois,1,1,1,0,1,0,ANN-IX-A
DECHETS_INDUSTRIELS,Déchets industriels,1,1,1,0,1,1,ANN-IX-A
DECHETS_MUNICIPAUX_MELANGE,Déchets municipaux en mélange (Hors déchets ménagers triés),1,1,1,0,0,0,ANN-IX-A
DECHETS_ORGANIQUES_MENAGERS,Déchets organiques ménagers,1,1,1,0,1,0,ANN-IX-A
DISTILLAT_ACIDE_GRAS_PALME,Distillat d'acide gras de palme,0,1,0,1,1,0,CONV
DPSC,Déchet de processus sucrier contaminé,1,0,0,0,1,0,OTHER
EFFLUENTS_HUILERIES_PALME_RAFLE,Effluents d'huileries de palme et rafles,0,1,1,0,1,0,ANN-IX-A
EP2,Égouts pauvres de 2ème extraction,1,0,0,0,1,0,OTHER
ETHANOL_PUR_LIES_VIN,Ethanol pur de lies de vin,1,0,1,0,1,0,ANN-IX-A
ETHANOL_PUR_MARC_RAISIN,Ethanol pur de marc de raisin,1,0,1,0,1,0,ANN-IX-A
FUMIER_HUMIDE,Fumier humide,1,0,1,0,0,0,ANN-IX-A
FUMIER_SEC,Fumier sec,1,0,1,0,0,0,ANN-IX-A
GLYCERINE_BRUTE,Glycérine brute,1,1,1,0,1,0,ANN-IX-A
GRAISSES_FLOTTATION,Graisses de flottation,0,1,1,0,1,0,ANN-IX-A
HUILE_ALIMENTAIRE_USAGEE,Huile alimentaire usagée,0,1,1,0,1,0,ANN-IX-B
HUILE_PALME,Huile de palme,0,1,0,0,1,0,CONV
HUILES_OU_GRAISSES_ANIMALES_CAT1_CAT2,Huiles ou graisses animales (catégorie I et/ou II),0,1,1,0,1,0,ANN-IX-B
HUILES_OU_GRAISSES_ANIMALES_CAT3,Huiles ou graisses animales (catégorie III),0,1,0,0,1,0,CAT3
LIES_DE_VIN,Lies de vin,1,0,1,0,1,0,ANN-IX-A
MAIS,Maïs,1,0,0,0,1,0,CONV
