zip;gps
10400;48.5105625489,3.44198941975
10700;48.5289053559,4.10868142527
13220;43.4556812107,4.90452133912
13270;43.4556812107,4.90452133912
2390;49.8268502674,3.52909324665
33530;44.9084140601,-0.525868280903
34200;43.3917705831,3.64705148296
44550;47.3232368527,-2.1467366036
51110;49.3701419632,4.17377871921
55100;49.1454831903,5.36141821261
59279;51.0012144614,2.22304802432
59640;51.0307229078,2.33752414095
60500;49.1762641654,2.48103481914
64300;43.4270216184,-0.659420644515
67930;48.8543766678,8.09164601373
76170;49.5087332809,0.534041811072
76430;49.4851409545,0.28118891923
76530;49.3483816966,1.00477486737
76700;49.4860837457,0.221985693724
78520;48.9946438183,1.7398704848
86190;46.6544747841,-0.00687604114589

