Name,Addresse,Numéro d'enregistrement,valid_from,valid_until,Biocarburants reconnus
Alvinesa Natural Ingredients S.A.,"Carretera de Valdepenas, P.K 4,.8, Pol. Ind. « El Campillo », 13250 Daimiel, Ciudad Real (Espagne)",FR_052_2020,01/01/20,30/12/21,Ethanol (lies de vin et marcs de raisin)
AustroCel Hallein GmbH,"Salzachtalstrasse 88, 5400 Hallein, Autriche ",FR_088_2021,01/01/21,31/12/22,"Ethanol (déchets sylviculture)"
Biocarburantes de Castilla y Leon/Babilafuente,"Crta. De Encinas a Cantalapiedra Km 4,9, 37330 Babilafuente (Salamanca) Espagne",FR_047_2020,01/01/20,30/12/21,Ethanol (lies de vin et marcs de raisin)
BIOCOM CUENCA S.L.,"Polígon Idustrial Sepes, Parcela 145/146, 16004 Cuenca, Espagne",FR_045_2020,01/01/20,30/12/21,"EMHU, EMAG de déchets industriels"
BIOCOM ENERGIA SL,"Polígon Idustrial Cotes B, C/Carnissers 28, 46680 Algemesi, Espagne",FR_005_2020,01/01/20,31/12/21,EMHU
BIODIESEL ARAGON ,Carretera A-1240  Km 0 9 22540 Altorricón(Huesca) Espagne ,FR_015_2020,01/01/20,31/12/21,"EMHU, EMAG de POME, EMHA(C1)"
BIOENERGIE du Sud Ouest,"Rocade sud d’Arance, Plateforme Induslacq, ported’Abidos, 64 300 Arance, France",FR_042_2021,01/01/21,31/12/22,"Ethanol (lies de vin, marcs de raisin et déchets industriels)"
BIOETANOL GALICIA,"Poligon Industrial de Teixeiro , Carretera N-634, km664,3, 15310 Teixeico (A Coruña) (Espagne)",FR_055_2020,01/01/20,31/12/21,Ethanol (lies de vin et marcs de raisin)
Biovegetal - Combustíveis Biológicos e Vegetais  S.A,Quinta da Hortinha  EN 10 Km 125 2600-403 Alhandra Portugal ,FR_072_2020,01/01/20,30/12/21,EMHU
CAVIRO EXTRA SPA,"VIA CONVERTITE 8, 48018 FAENZA (RA) ITALIE ",FR_081_2020,01/01/20,30/12/21,Ethanol (lies de vin et marcs de raisin)
CRISTAL UNION site de CRISTANOL,"1  route Départementale 20a 51110 Bazancourt, France",FR_070_2020,01/01/20,30/12/21,Ethanol (lies de vin et marcs de raisin)
Cristal Union Villette sur Aube,route d’Arcy sur Aube  10 700 Villette sur Aube (France) ,FR_051_2020,01/01/20,30/12/21,Ethanol (lies de vin et marcs de raisin)
DAKA DENMARK A/S,"Dakajev, 6 8723 Losning Danemark ",FR_019_2020,01/01/20,30/12/21,EMHA (C1 & C2)
DIELIX,"727, Route du Hazay - Zone du port autonome de Limay-Porcheville, 78520 Limay France ",FR_002_2020,01/01/20,30/12/21,EMHU
Distillerie MAZZARI S.p.A.,"Via Giardino 6, 48020 S. Agata sulSanterno Italia ",FR_087_2020,01/01/20,30/12/21,Ethanol (lies de vin et marcs de raisin)
